sale_date,product_id,units_sold,sales_amount
2025-06-15,PROD-001,7,208600
2025-06-15,PROD-002,26,129480
2025-06-15,PROD-003,21,125580
2025-06-15,PROD-004,34,169320
2025-06-15,PROD-005,16,111680
2025-06-16,PROD-001,5,149000
2025-06-16,PROD-002,22,109560
2025-06-16,PROD-003,24,143520
2025-06-16,PROD-004,26,129480
2025-06-16,PROD-005,17,118660
2025-06-17,PROD-001,4,119200
2025-06-17,PROD-002,12,59760
2025-06-17,PROD-003,18,107640
2025-06-17,PROD-004,30,149400
2025-06-17,PROD-005,13,90740
2025-06-18,PROD-001,6,178800
2025-06-18,PROD-002,11,54780
2025-06-18,PROD-003,23,137540
2025-06-18,PROD-004,34,169320
2025-06-18,PROD-005,17,118660
2025-06-19,PROD-001,5,149000
2025-06-19,PROD-002,10,49800
2025-06-19,PROD-003,23,137540
2025-06-19,PROD-004,28,139440
2025-06-19,PROD-005,13,90740
2025-06-20,PROD-001,4,119200
2025-06-20,PROD-002,10,49800
2025-06-20,PROD-003,22,131560
2025-06-20,PROD-004,34,169320
2025-06-20,PROD-005,18,125640
2025-06-21,PROD-001,4,119200
2025-06-21,PROD-002,12,59760
2025-06-21,PROD-003,10,59800
2025-06-21,PROD-004,34,169320
2025-06-21,PROD-005,15,104700
2025-06-22,PROD-001,6,178800
2025-06-22,PROD-002,11,54780
2025-06-22,PROD-003,11,65780
2025-06-22,PROD-004,36,179280
2025-06-22,PROD-005,13,90740
2025-06-23,PROD-001,6,178800
2025-06-23,PROD-002,12,59760
2025-06-23,PROD-003,10,59800
2025-06-23,PROD-004,14,69720
2025-06-23,PROD-005,13,90740
2025-06-24,PROD-001,14,417200
2025-06-24,PROD-002,11,54780
2025-06-24,PROD-003,10,59800
2025-06-24,PROD-004,14,69720
2025-06-24,PROD-005,12,83760
2025-06-25,PROD-001,11,327800
2025-06-25,PROD-002,48,239040
2025-06-25,PROD-003,10,59800
2025-06-25,PROD-004,12,59760
2025-06-25,PROD-005,16,111680
2025-06-26,PROD-001,11,327800
2025-06-26,PROD-002,36,179280
2025-06-26,PROD-003,9,53820
2025-06-26,PROD-004,13,64740
2025-06-26,PROD-005,11,76780
2025-06-27,PROD-001,6,178800
2025-06-27,PROD-002,57,283860
2025-06-27,PROD-003,10,59800
2025-06-27,PROD-004,14,69720
2025-06-27,PROD-005,12,83760
2025-06-28,PROD-001,5,149000
2025-06-28,PROD-002,76,378480
2025-06-28,PROD-003,9,53820
2025-06-28,PROD-004,13,64740
2025-06-28,PROD-005,15,104700
2025-06-29,PROD-001,5,149000
2025-06-29,PROD-002,98,488040
2025-06-29,PROD-003,19,113620
2025-06-29,PROD-004,13,64740
