post_id,product_id,posted_at,likes,comments,image_path
POST-001,,2025-06-15 08:45:00,3045,180,posts/post_001.jpg
POST-002,,2025-06-16 19:00:00,5803,318,posts/post_002.jpg
POST-003,,2025-06-17 18:15:00,2139,67,posts/post_003.jpg
POST-004,,2025-06-18 14:30:00,2307,128,posts/post_004.jpg
POST-005,,2025-06-19 10:45:00,5554,242,posts/post_005.jpg
POST-007,,2025-06-21 15:00:00,3803,175,posts/post_007.jpg
POST-008,,2025-06-22 14:15:00,8573,354,posts/post_008.jpg
POST-009,,2025-06-23 14:30:00,1916,70,posts/post_009.jpg
POST-010,,2025-06-24 08:30:00,7572,287,posts/post_010.jpg
POST-011,,2025-06-25 13:30:00,4483,222,posts/post_011.jpg
POST-012,,2025-06-27 19:45:00,3340,126,posts/post_012.jpg
POST-013,,2025-06-28 14:30:00,8019,456,posts/post_013.jpg
POST-015,,2025-06-30 11:45:00,2489,131,posts/post_015.jpg
POST-017,,2025-07-03 20:00:00,7304,302,posts/post_017.jpg
POST-018,,2025-07-04 21:30:00,1188,59,posts/post_018.jpg
POST-019,,2025-07-06 10:30:00,6573,219,posts/post_019.jpg
POST-020,,2025-07-07 20:15:00,8433,253,posts/post_020.jpg
POST-021,,2025-07-09 15:15:00,9317,534,posts/post_021.jpg
POST-022,,2025-07-10 16:15:00,3504,144,posts/post_022.jpg
POST-023,,2025-07-11 12:00:00,6310,281,posts/post_023.jpg
POST-024,,2025-07-12 10:30:00,6038,224,posts/post_024.jpg
POST-025,,2025-07-13 14:00:00,2403,124,posts/post_025.jpg
POST-028,,2025-07-16 13:30:00,7537,451,posts/post_028.jpg
POST-029,,2025-07-17 18:45:00,9479,412,posts/post_029.jpg
POST-030,,2025-07-19 14:15:00,2049,82,posts/post_030.jpg
POST-031,,2025-07-20 14:15:00,1117,35,posts/post_031.jpg
POST-032,,2025-07-21 08:15:00,2104,120,posts/post_032.jpg
POST-033,,2025-07-22 17:00:00,9423,349,posts/post_033.jpg
POST-034,,2025-07-23 22:15:00,3167,163,posts/post_034.jpg
POST-036,,2025-07-26 13:00:00,2588,128,posts/post_036.jpg
POST-037,,2025-07-27 18:45:00,7735,340,posts/post_037.jpg
POST-038,,2025-07-28 08:00:00,1993,83,posts/post_038.jpg
POST-039,,2025-07-29 17:00:00,5073,181,posts/post_039.jpg
POST-040,,2025-07-30 21:15:00,7912,280,posts/post_040.jpg
POST-041,,2025-07-31 21:15:00,2235,96,posts/post_041.jpg
POST-042,,2025-08-01 10:00:00,1241,73,posts/post_042.jpg
POST-043,,2025-08-02 14:15:00,7658,341,posts/post_043.jpg
POST-044,,2025-08-03 13:45:00,1960,68,posts/post_044.jpg
POST-045,,2025-08-04 07:45:00,5345,308,posts/post_045.jpg
POST-046,,2025-08-05 21:30:00,7930,403,posts/post_046.jpg
POST-047,,2025-08-06 22:15:00,4111,159,posts/post_047.jpg
POST-048,,2025-08-07 08:00:00,6138,194,posts/post_048.jpg
POST-049,,2025-08-08 22:15:00,1931,113,posts/post_049.jpg
POST-051,,2025-08-12 14:45:00,2964,172,posts/post_051.jpg
POST-052,,2025-08-14 14:00:00,2343,99,posts/post_052.jpg
POST-053,,2025-06-20 12:00:00,4521,198,posts/post_053.jpg
POST-054,,2025-06-29 16:30:00,6234,312,posts/post_054.jpg
POST-055,,2025-07-02 09:45:00,3187,145,posts/post_055.jpg
POST-056,,2025-07-14 11:00:00,5892,267,posts/post_056.jpg
POST-057,,2025-07-15 19:30:00,7103,389,posts/post_057.jpg
POST-058,,2025-07-25 10:15:00,4756,213,posts/post_058.jpg
POST-059,,2025-08-09 15:00:00,3412,156,posts/post_059.jpg
POST-060,,2025-08-11 18:45:00,5678,284,posts/post_060.jpg
